Companies,Types,Years,Currencies,Account,Description,Period,Amount
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,2,292
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,3,311
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,4,317
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,5,299
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,6,303
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,7,321
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,8,302
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,9,0
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,10,168
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,11,322
PLATTERIVER,BUDGET,2015,Home,PR-566101-38-17-1 -    -      ,Miscellaneous Transmission Expense ,12,349
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,1,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,2,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,3,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,4,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,5,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,6,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,7,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,8,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,9,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,10,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,11,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-566101-51-17-1 -    -      ,Miscellaneous Transmission Expense ,12,"3,000.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,1,"4,258.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,2,"3,673.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,3,"3,998.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,4,"4,064.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,5,"3,808.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,6,"3,885.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,7,"4,154.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,8,"3,835.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,9,"5,110.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,10,"4,729.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,11,"4,095.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-12-17-1 -    -      ,Maintenance Transmission Security  ,12,"4,503.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,1,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,2,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,3,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,4,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,5,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,6,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,7,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,8,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,9,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,10,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,11,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-13-17-1 -    -      ,Maintenance Transmission Security  ,12,100
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,1,"1,699.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,2,"1,497.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,3,"1,598.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,4,"1,624.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,5,"1,537.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,6,"1,554.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,7,"1,647.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,8,"1,548.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,9,"2,032.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,10,"1,883.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,11,"1,649.00"
PLATTERIVER,BUDGET,2015,Home,PR-570106-38-17-1 -    -      ,Maintenance Transmission Security  ,12,"1,783.00"
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,1,852
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,2,735
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,3,800
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,4,813
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,5,762
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,6,777
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,7,831
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,8,767
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,9,852
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,10,860
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,11,819
PLATTERIVER,BUDGET,2015,Home,PR-570107-12-17-1 -    -      ,Maintenance of Substation Grounds  ,12,901
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,1,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,2,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,3,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,4,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,5,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,6,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,7,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,8,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,9,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,10,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,11,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-13-17-1 -    -      ,Maintenance of Substation Grounds  ,12,100
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,1,372
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,2,332
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,3,351
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,4,357
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,5,339
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,6,343
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,7,361
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,8,342
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,9,373
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,10,376
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,11,362
PLATTERIVER,BUDGET,2015,Home,PR-570107-38-17-1 -    -      ,Maintenance of Substation Grounds  ,12,389
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,1,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,2,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,3,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,4,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,5,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,6,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,7,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,8,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,9,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,10,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,11,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-13-17-1 -    -      ,Maintenance of Vehicles and Equipme,12,100
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,1,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,2,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,3,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,4,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,5,40
PLATTERIVER,BUDGET,2015,Home,PR-570108-38-17-1 -    -      ,Maintenance of Vehicles and Equipme,6,40
